row_index,workflow_history,place_as_recorded,authorized_label,structured_value
39,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352428Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.582Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618600Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.359016Z",England?,England,http://vocab.getty.edu/tgn/7002445
40,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352437Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.584370Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618609Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.359029Z",England? France?,England;France,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/1000070
41,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352451Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.585336Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618622Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.359036Z",England? Wales?,England;Wales,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7002443
42,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352460Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.585349Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618632Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.359043Z",Europe (but not England),Europe,http://vocab.getty.edu/tgn/1000003
43,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352467Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.585358Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618642Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.359057Z",Flanders,Flanders,http://vocab.getty.edu/tgn/7024097
44,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352480Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.585375Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618677Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.359065Z",Flanders?,Flanders,http://vocab.getty.edu/tgn/7024097
45,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352488Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.585383Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618688Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.359072Z","Florence, Italy",Florence;Italy,http://vocab.getty.edu/tgn/7000457;http://vocab.getty.edu/tgn/1000080
46,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352495Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.585391Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618697Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.359083Z","Florence?, Italy",Florence;Italy,http://vocab.getty.edu/tgn/7000457;http://vocab.getty.edu/tgn/1000080
47,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352508Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.585404Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618712Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.359091Z",France,France,http://vocab.getty.edu/tgn/1000070
48,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352516Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.585412Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618721Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.359109Z",France (?),France,http://vocab.getty.edu/tgn/1000070
49,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352523Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.585420Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618730Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.359118Z",France (Normandy),France;Normandy,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7002886
50,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352542Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.585432Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618744Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.359125Z",France (Paris),France;Paris,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7008038
51,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352551Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.585440Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618754Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.359137Z",France or Flanders,France;Flanders,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7024097
52,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352559Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.585448Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618763Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.359144Z","France, Anjou?",France;Anjou,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7017069
53,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352572Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.585471Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618777Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.359151Z","France, Brittany",France;Brittany,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7024267
54,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352580Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.585480Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618786Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.359163Z","France, Dauphiné",France;Dauphiné,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7007764
55,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352587Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.585487Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618795Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.359171Z","France, Franche Comté (?)",France;Franche-Comté,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7645440
