row_index,workflow_history,language_as_recorded,language_code,authorized_label,structured_value
91,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.601Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.853Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.307Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.948Z","Middle French, with some sections in Latin (f. 77r-81v, 85v-87r, 93r-98r, 137v, 141r).",frm|lat,Middle French|Latin,Q1473289|Q397
92,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.601Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.854Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.307Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.948Z",Middle French.,frm,Middle French,Q1473289
93,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.601Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.854Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.307Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.948Z",Middle High German (ca. 1050-1500),gmh,Middle High German,Q837985
94,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.601Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.854Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.307Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.948Z","Middle High German, with some Latin.",gmh|lat,Middle High German|Latin,Q837985|Q397
95,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.602Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.854Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.307Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.948Z","No linguistic content, Not applicable",zxx,no linguistic content,Q22282939
96,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.602Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.854Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.307Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.948Z",Old French (842-ca. 1400),fro,Old French,Q35222
97,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.602Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.854Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.307Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.948Z",Ottoman Turkish and Persian with some Arabic quotations and headings.,ota|per|ara,Persian|Arabic|Ottoman Turkish,Q9168|Q13955|Q36730
98,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.602Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.854Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.307Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.948Z",Ottoman Turkish and Persian.,ota|per,Persian|Ottoman Turkish,Q9168|Q36730
99,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.602Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.854Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.307Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.949Z",Ottoman Turkish.,ota,Ottoman Turkish,Q36730
100,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.602Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.855Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.307Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.949Z",Ottoman with translations from Arabic; inserts in Persian laid in.,ota|ara,Persian|Arabic|Ottoman Turkish,Q9168|Q13955|Q36730
101,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.602Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.855Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.307Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.949Z",Persian,per,Persian,Q9168
102,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.602Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.856Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.307Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.949Z",Persian translations and commentary with Arabic source-text.,per,Persian|Arabic,Q9168|Q13955
