File,title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
20240902-titles-smith-mets-legacy.csv,Book of hours (Smith College Ms. 274),,,,,,Book of hours,"Q795"
20240902-titles-smith-mets-legacy.csv,Book of hours (Smith College Ms.  288 ),,,,,,Book of hours,"Q795"
20240902-titles-smith-mets-legacy.csv,[Psalter],,,,,,Psalter,"Q660"
20240902-titles-smith-mets-legacy.csv,Psalter (Smith College Ms. 291),,,,,,Psalter,"Q660"
20240902-titles-smith-mets-legacy.csv,f. 1 verso,,,,,,,
20240902-titles-smith-mets-legacy.csv,Prooemialis epistula summo pontifici destinata super legenda Sancte Clare Virginis,,,,Letter;Legend of Saint Clare,Q1454;Q18591,,
20240902-titles-smith-mets-legacy.csv,Homilies,,,,,,Homilies,"Q1246"
20240902-titles-smith-mets-legacy.csv,[Bible].,,,,,,Bible,"Q661"
20240902-titles-smith-mets-legacy.csv,Bible. Latin. Vulgate. 12--,,,,,,Bible,"Q661"
20240902-titles-smith-mets-legacy.csv,[Biblia sacra].,,,,,,Bible,"Q661"
20240902-titles-smith-mets-legacy.csv,[Enchiridion] (fragmentary).,,,,,,Enchiridion,"Q1245"
20240903-titles-indiana-mets-legacy.csv,Homiliae in Evangelia,,,,,,Homilies;Gospels,"Q1246;Q6034"
20240903-titles-indiana-mets-legacy.csv,Homilies on the Gospels,,,,,,Homilies;Gospels,"Q1246;Q6034"
20240903-titles-indiana-mets-legacy.csv,Historia Ecclesiastica Gentis Anglorum,,,,,,Historia ecclesiastica,"Q864"
20240903-titles-indiana-mets-legacy.csv,Excerpta ex operibus Sancti Augustini,,,,Works of Augustine,Q7531,,
20240903-titles-indiana-mets-legacy.csv,Quod unigentius dei filius propter formam servi minor patri dicatur qui informa dei aequalis est patri ex eodem de trinitate libro primo titulo viii.,,,,,,Unigenitus Dei Filius,"Q1476"
20240903-titles-indiana-mets-legacy.csv,Florigelium,,,,,,Florilegium,"Q1326"
20240903-titles-indiana-mets-legacy.csv,Legenda S. Martini episcopi Et S. Bricii Turonensii Episcopi,,,,Legend of Saint Martin;Legend of Saint Brice,Q18397;Q18550,,
20240903-titles-indiana-mets-legacy.csv,Life of Saint Martin,,,,,,Life of Saint Martin,"Q1443"
20240903-titles-indiana-mets-legacy.csv,Saint's Life,,,,,,Lives of the Saints,"Q1483"
