row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
158,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.993303Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.544078Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.695062Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.270857Z","Tarikatçı Mustafa Efendi, -1730 or 1731",author,طرىقتچى مصطفى افندى، -1730 or 1731,,human,Tarikatçı Mustafa Efendi,Q130374924,DSNAME6726,Q54707,,,,
159,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.993312Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.544126Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.695081Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.270862Z","Ahmet Bican, active 15th century",author,احمد بيجان، 15th cent,,human,Ahmet Bican,Q120599056,DSNAME6755,Q54736,,,,
160,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.993316Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.544133Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.695092Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.270867Z","ʻAbd al-Qādir al-Jīlānī, -1166",author,عبد القادر الجيلاني، -1166,,human,Abdul Qadir Gilani,Q307365,DSNAME6824,Q54805,,,,
161,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.993319Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.544138Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.695101Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.270874Z","Jāmī, 1414-1492",author,جامى، 1414-1492,,,,,,,human,Jami,Q312458,Q3803
162,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.993568Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.544141Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.695117Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.270878Z","Abu al-Fayd, Mustafa",author,,,human,Mustafa Abu al-Fayd,Q130374987,DSNAME6825,Q54806,,,,
163,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.993578Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.544144Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.695187Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.270883Z","Birgivî Mehmet Efendi, approximately 1522-1573",author,"بركوي, محمد بن بير علي",,,,,,,human,Imam Birgivi,Q167660,Q12361
164,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.993582Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.544148Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.695231Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.270894Z","Müştak Baba, 1758?-1831",author,مشتاق بابا,,human,Müştak Baba,Q130374988,DSNAME6826,Q54807,,,,
165,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.993588Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.544151Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.695246Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.270898Z","Jāmī, 1414-1492",author,جامي,,,,,,,human,Jami,Q312458,Q3803
166,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.993592Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.544154Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.695255Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.270902Z","Müstakimzade Süleyman Sadeddin, 1718-1787",author,مستقيم زاده سليمان سعد الدين,,human,Müstakimzade Süleyman Sadeddin,Q6016435,DSNAME6827,Q54808,,,,
167,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.993595Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.544158Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.695264Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.270909Z","Müstakimzade Süleyman Sadeddin, 1718-1787",author,,,human,Müstakimzade Süleyman Sadeddin,Q6016435,DSNAME6827,Q54808,,,,
