row_index,genre_as_recorded,vocab,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
162,Illuminated title pages--Islamic countries--18th century,local,,illuminations (paintings);title pages;Islamic countries;Eighteenth century,http://vocab.getty.edu/aat/300264522;http://vocab.getty.edu/aat/300055033;http://id.worldcat.org/fast/1244130;http://id.worldcat.org/fast/904058,Q225;Q20371;Q2810;Q3024,,,
163,Headpieces (layout features)--Islamic countries--18th century,aat,,,,,headpieces (layout features);Islamic countries;Eighteenth century,http://vocab.getty.edu/aat/300207342;http://id.worldcat.org/fast/1244130;http://id.worldcat.org/fast/904058,Q11536;Q2810;Q3024
164,"Manuscripts, Arabic--15th century",lcsh,,,,,"Manuscripts, Arabic;Fifteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/923962,Q256;Q154
165,Dictionaries,lcgft,http://id.loc.gov/authorities/genreForms/gf2014026086,,,,Dictionaries,http://id.worldcat.org/fast/1423826,Q3041
166,"Manuscripts, Arabic--Syria--Damascus--14th century",lcsh,,,,,"Manuscripts, Arabic;Syria--Damascus;Fourteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1207112;http://id.worldcat.org/fast/933420,Q256;Q11409;Q295
167,"Manuscripts, Arabic--14th century",lcsh,,,,,"Manuscripts, Arabic;Fourteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/933420,Q256;Q295
168,"Manuscripts, Arabic--Ṣafad",lcsh,,"Manuscripts, Arabic;Israel--Tsefat",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1209839,Q256;Q64096,,,
169,"Manuscripts, Arabic--Turkey--Kütaya--14th century",lcsh,,"Manuscripts, Arabic;Turkey--Kütahya;Fourteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1695379;http://id.worldcat.org/fast/933420,Q256;Q8122;Q295,,,
170,"Manuscripts, Arabic--13th century",lcsh,,,,,"Manuscripts, Arabic;Thirteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1150138,Q256;Q245
171,Early works,fast,(OCoLC)fst01411636,,,,Early works,http://id.worldcat.org/fast/1411636,Q300
172,Watermarks,rbmscv,,,,,Watermarks,http://id.loc.gov/vocabulary/rbmscv/cv01089,Q5815
173,Blind tooled bindings,rbmscv,,,,,Blind tooled bindings,http://id.loc.gov/vocabulary/rbmscv/cv00632,Q5877
174,"Manuscripts, Arabic--Turkey--Arzinjān",lcsh,,"Manuscripts, Arabic;Turkey--Erzincan",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1232020,Q256;Q27052,,,
175,"Manuscripts, Arabic--Saudi Arabia--Mecca--12th century",lcsh,,"Manuscripts, Arabic;Saudi Arabia--Mecca;Twelfth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1204780;http://id.worldcat.org/fast/1159791,Q256;Q11321;Q304,,,
176,Autographs (manuscripts)--Islamic Empire--14th century,aat,,autographs (manuscripts);Islamic Empire;Fourteenth century,http://vocab.getty.edu/aat/300028571;http://id.worldcat.org/fast/1244134;http://id.worldcat.org/fast/933420,Q3518;Q11211;Q295,,,
177,magic squares,aat,,,,,magic squares,http://vocab.getty.edu/aat/300222283,Q11568
178,Cloth bindings,rbmscv,,,,,Cloth bindings,http://id.loc.gov/vocabulary/rbmscv/cv00451,Q11478
179,Sermons,lcgft,http://id.loc.gov/authorities/genreForms/gf2015026051,,,,Sermons,http://id.worldcat.org/fast/1423904,Q180
180,Autographs (manuscripts)--Syria--Damascus--14th century,aat,,autographs (manuscripts);Syria--Damascus;Fourteenth century,http://vocab.getty.edu/aat/300028571;http://id.worldcat.org/fast/1207112;http://id.worldcat.org/fast/933420,Q3518;Q11409;Q295,,,
181,Sacred books,fast,(OCoLC)fst01423905,,,,Sacred books,http://id.worldcat.org/fast/1423905,Q11188
182,Sacred works,lcgft,http://id.loc.gov/authorities/genreForms/gf2015026045,,,,Sacred works,http://id.worldcat.org/fast/1923249,Q11490
183,"Manuscripts, Arabic--20th century",lcsh,,,,,"Manuscripts, Arabic;Twentieth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1159810,Q256;Q5942
184,"Manuscripts, Arabic--Caucasus--18th century",lcsh,,,,,"Manuscripts, Arabic;Caucasus;Eighteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1244425;http://id.worldcat.org/fast/904058,Q256;Q39960;Q3024
185,Personal correspondence,fast,,,,,Personal correspondence,http://id.worldcat.org/fast/1919948,Q5912
186,"Manuscripts, Urdu--19th century",lcsh,,,,,"Manuscripts, Urdu;Nineteenth century",http://id.worldcat.org/fast/1008525;http://id.worldcat.org/fast/1037841,Q48717;Q3538
187,"Manuscripts, Arabic--Saudi Arabia--Medina--16th century",lcsh,,,,,"Manuscripts, Arabic;Saudi Arabia--Medina;Sixteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1213531;http://id.worldcat.org/fast/1119851,Q256;Q18323;Q335
188,Illuminated manuscripts--Islamic countries--17th century,aat,,,,,illuminated manuscripts;Islamic countries;Seventeenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1244130;http://id.worldcat.org/fast/1113663,Q4268;Q2810;Q2771
189,Headpieces (layout features)--Islamic countries--17th century,aat,,,,,headpieces (layout features);Islamic countries;Seventeenth century,http://vocab.getty.edu/aat/300207342;http://id.worldcat.org/fast/1244130;http://id.worldcat.org/fast/1113663,Q11536;Q2810;Q2771
190,Illuminated title pages--Islamic countries--17th century,local,,illuminations (paintings);title pages;Islamic countries;Seventeenth century,http://vocab.getty.edu/aat/300264522;http://vocab.getty.edu/aat/300055033;http://id.worldcat.org/fast/1244130;http://id.worldcat.org/fast/1113663,Q225;Q20371;Q2810;Q2771,,,
191,Apologetic writings,fast,,,,,Apologetic writings,http://id.worldcat.org/fast/1423698,Q6975
192,"Manuscripts, Arabic--Caucasus--19th century",lcsh,,,,,"Manuscripts, Arabic;Caucasus;Nineteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1244425;http://id.worldcat.org/fast/1037841,Q256;Q39960;Q3538
193,"Manuscripts, Arabic--Syria--Aʻzāz--18th century",lcsh,,"Manuscripts, Arabic;Syria--Aʻzāz;Eighteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1873368;http://id.worldcat.org/fast/904058,Q256;Q110378;Q3024,,,
194,Slipcases--Islamic empire,aat,,,,,slipcases;Islamic Empire,http://vocab.getty.edu/aat/300200341;http://id.worldcat.org/fast/1244134,Q18319;Q11211
195,"Manuscripts, Arabic--Caucasus",lcsh,,,,,"Manuscripts, Arabic;Caucasus",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1244425,Q256;Q39960
196,"Manuscripts, Arabic--Dagestan--19th century",lcsh,,"Manuscripts, Arabic;Russia (Federation)--Dagestan;Nineteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1264350;http://id.worldcat.org/fast/1037841,Q256;Q39920;Q3538,,,
197,"Manuscripts, Arabic--Dagestan",lcsh,,,,,"Manuscripts, Arabic;Russia (Federation)--Dagestan",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1264350,Q256;Q39920
198,"Manuscripts, Arabic--Iran--Urmia--Madrasah al-Jalālīyah--15th century",lcsh,,"Manuscripts, Arabic;Iran--Urūmīyah;Fifteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1258502;http://id.worldcat.org/fast/923962,Q256;Q110374;Q154,,,
199,Islamic bookbinding,lcsh,,,,,Islamic bookbinding,http://id.worldcat.org/fast/1730288,Q11127
200,Illuminated title pages--Islamic empire--15th century,local,,,,,illuminations (paintings);title pages;Islamic Empire;Fifteenth century,http://vocab.getty.edu/aat/300264522;http://vocab.getty.edu/aat/300055033;http://id.worldcat.org/fast/1244134;http://id.worldcat.org/fast/923962,Q225;Q20371;Q11211;Q154
201,Devotional literature,lcgft,http://id.loc.gov/authorities/genreForms/gf2015026057,,,,Devotional literature,http://id.worldcat.org/fast/1423773,Q38696
202,"Manuscripts, Arabic--Turkey--Bursa",lcsh,,"Manuscripts, Arabic;Turkey--Bursa",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1234358,Q256;Q39977,,,
203,Headpieces (layout features)--Islamic countries--19th century,aat,,,,,headpieces (layout features);Islamic countries;Nineteenth century,http://vocab.getty.edu/aat/300207342;http://id.worldcat.org/fast/1244130;http://id.worldcat.org/fast/1037841,Q11536;Q2810;Q3538
204,Illuminated manuscripts--Islamic countries--19th century,aat,,,,,illuminated manuscripts;Islamic countries;Nineteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1244130;http://id.worldcat.org/fast/1037841,Q4268;Q2810;Q3538
205,Waqf--Books,lcsh,,,,,Waqf;Books,http://id.worldcat.org/fast/1170323;http://id.worldcat.org/fast/836401,Q11403;Q40000
206,"Manuscripts, Arabic--Egypt--Cairo--13th century",lcsh,,"Manuscripts, Arabic;Egypt--Cairo;Thirteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1205204;http://id.worldcat.org/fast/1150138,Q256;Q11261;Q245,,,
207,"Manuscripts, Arabic--Syria--Damascus--17th century",lcsh,,,,,"Manuscripts, Arabic;Syria--Damascus;Seventeenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1207112;http://id.worldcat.org/fast/1113663,Q256;Q11409;Q2771
208,"Manuscripts, Arabic--Turkey--Qayṣarīyah--17th century",lcsh,,"Manuscripts, Arabic;Turkey--Kayseri;Seventeenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1214648;http://id.worldcat.org/fast/1113663,Q256;Q64098;Q2771,,,
