holding_institution,shelfmark,iiif_manifest_url
kansas,MS 9/2:27,https://iiif.archivelab.org/iiif/images_227_30/manifest.json
kansas,MS 9/2:29,https://iiif.archivelab.org/iiif/images_229_30/manifest.json
kansas,MS 9/2:2,https://iiif.archivelab.org/iiif/images_22_30/manifest.json
kansas,MS 9/2:30,https://iiif.archivelab.org/iiif/images_230_30/manifest.json
kansas,MS 9/2:31,https://iiif.archivelab.org/iiif/images_231_30/manifest.json
kansas,MS 9/2:3,https://iiif.archivelab.org/iiif/images_23_30/manifest.json
kansas,MS 9/2:4,https://iiif.archivelab.org/iiif/images_24_30/manifest.json
kansas,MS 9/2:5,https://iiif.archivelab.org/iiif/images_25_30/manifest.json
kansas,MS 9/2:6,https://iiif.archivelab.org/iiif/images_26_30/manifest.json
kansas,MS 9/2:7,https://iiif.archivelab.org/iiif/images_27_30/manifest.json
kansas,MS 9/2:8,https://iiif.archivelab.org/iiif/images_28_30/manifest.json
kansas,MS 9/2:9,https://iiif.archivelab.org/iiif/images_29_30/manifest.json
kansas,MS 18E:1,https://iiif.archivelab.org/iiif/images_MS18E1_30/manifest.json
kansas,MS 191:10,https://iiif.archivelab.org/iiif/images_MS19110_30/manifest.json
kansas,MS 191:11,https://iiif.archivelab.org/iiif/images_MS19111_30/manifest.json
kansas,MS 191:12,https://iiif.archivelab.org/iiif/images_MS19112_30/manifest.json
kansas,MS 191:13,https://iiif.archivelab.org/iiif/images_MS19113_30/manifest.json
kansas,MS 191:14,https://iiif.archivelab.org/iiif/images_MS19114_30/manifest.json
kansas,MS 191:15,https://iiif.archivelab.org/iiif/images_MS19115_30/manifest.json
kansas,MS 191:1,https://iiif.archivelab.org/iiif/images_MS1911_30/manifest.json
kansas,MS 191:2,https://iiif.archivelab.org/iiif/images_MS1912_30/manifest.json
kansas,MS 191:3,https://iiif.archivelab.org/iiif/images_MS1913_30/manifest.json
kansas,MS 191:4,https://iiif.archivelab.org/iiif/images_MS1914_30/manifest.json
kansas,MS 191:5,https://iiif.archivelab.org/iiif/images_MS1915_30/manifest.json
kansas,MS 191:6,https://iiif.archivelab.org/iiif/images_MS1916_30/manifest.json
kansas,MS 191:7,https://iiif.archivelab.org/iiif/images_MS1917_30/manifest.json
kansas,MS 191:8,https://iiif.archivelab.org/iiif/images_MS1918_30/manifest.json
kansas,MS 191:9,https://iiif.archivelab.org/iiif/images_MS1919_30/manifest.json
kansas,MS 220C:1,https://iiif.archivelab.org/iiif/images_MS220C1_30/manifest.json
kansas,MS A10,https://iiif.archivelab.org/iiif/images_MSA10_30/manifest.json
kansas,MS A15,https://iiif.archivelab.org/iiif/images_MSA15_30/manifest.json
kansas,MS A16,https://iiif.archivelab.org/iiif/images_MSA16_30/manifest.json
kansas,MS A17,https://iiif.archivelab.org/iiif/images_MSA17_30/manifest.json
kansas,MS A18,https://iiif.archivelab.org/iiif/images_MSA18_30/manifest.json
kansas,MS A19,https://iiif.archivelab.org/iiif/images_MSA19_30/manifest.json
kansas,MS A20,https://iiif.archivelab.org/iiif/images_MSA20_30/manifest.json
kansas,MS A28,https://iiif.archivelab.org/iiif/images_MSA28_30/manifest.json
kansas,MS A30,https://iiif.archivelab.org/iiif/images_MSA30_30/manifest.json
kansas,MS A35,https://iiif.archivelab.org/iiif/images_MSA35_30/manifest.json
kansas,MS A6,https://iiif.archivelab.org/iiif/images_MSA6_30/manifest.json
kansas,MS A7,https://iiif.archivelab.org/iiif/images_MSA7_30/manifest.json
kansas,MS B110,https://iiif.archivelab.org/iiif/images_MSB110_30/manifest.json
kansas,MS B15,https://iiif.archivelab.org/iiif/images_MSB15_30/manifest.json
kansas,MS B16,https://iiif.archivelab.org/iiif/images_MSB16_30/manifest.json
kansas,MS B17,https://iiif.archivelab.org/iiif/images_MSB17_30/manifest.json
kansas,MS B18,https://iiif.archivelab.org/iiif/images_MSB18_30/manifest.json
kansas,MS B19,https://iiif.archivelab.org/iiif/images_MSB19_30/manifest.json
kansas,MS B20,https://iiif.archivelab.org/iiif/images_MSB20_30/manifest.json
kansas,MS B21,https://iiif.archivelab.org/iiif/images_MSB21_30/manifest.json
kansas,MS B22,https://iiif.archivelab.org/iiif/images_MSB22_30/manifest.json
kansas,MS B44,https://iiif.archivelab.org/iiif/images_MSB44_30/manifest.json
kansas,MS B61,https://iiif.archivelab.org/iiif/images_MSB61_30/manifest.json
kansas,MS B63,https://iiif.archivelab.org/iiif/images_MSB63_30/manifest.json
